경도,위도,설치기관명,설치위치
127.0372759,37.57579957,용신동주민센터,주민센터 1층
127.0087748,37.56888548,두산타워빌딩,13F (면세 1213호기 E/V 앞)
127.0087748,37.56888548,두산타워빌딩,9F (면세 1213호기 E/V 앞)
127.0087748,37.56888548,두산타워빌딩,11F (면세 1213호기 E/V 앞)
126.90304,37.56410676,서울시도시철도공사,6호선 마포구청역 지하2층 대합실
126.9504373,37.54446198,서울시도시철도공사,6호선공덕역 지하1층대합실
126.9134492,37.55186489,홍익지구대,1층 우측 벽면
126.8605599,37.56108734,가양3동주민센터,가양3동주민센터
126.8535176,37.56462873,가양5단지아파트,가양5단지 관리사무소앞
126.8200395,37.57108403,서울경찰청강서기동대,서울경찰청 강서기동대
126.9608211,37.55221087,서울소의초등학교,중앙현관보건실옆
126.9563506,37.55658815,아현중학교,보건실 내
126.9814178,37.57023224,종각역,역무실 앞
127.0808518,37.59289195,상봉2동주민센터,1층 주민센터내 통합민원창구 왼쪽
127.0949182,37.59189966,망우3동주민센터,민원실
127.091262,37.57323297,용마폭포공원축구장,사무실
127.088681,37.58076004,사가정역,고객 상담실 옆 (지하1층)
127.0815403,37.61462804,먹골파출소,소내왼쪽벽
126.9508632,37.50767424,상도건영아파트,108동 10-17경비실
126.906524,37.48738662,동작상떼빌아파트,101동 입구
127.0386839,37.65416709,도봉구건강가정다문화가족지원센터,다문화가정지원센타
126.9759379,37.48964207,사당우성2단지아파트,관리사무소입구
126.921037,37.48213616,남서울중학교,학교보건실
126.9509387,37.47867311,관악구정신건강증진센터,별관4층 관악구정신건강증진센터
126.95095,37.47866411,관악구치매지원센터,별관3층 관악구치매지원센터
127.0886266,37.58667231,면목1치안센터,센터내 정면벽
127.085347,37.57442509,중랑구치매안심센터,2층 분소 상담소앞
126.953086,37.49808845,상도1동주민센터,민원실
126.9570325,37.48064104,행운동주민센터,행운동주민센터
127.0433006,37.64999934,창동주공3단지,306동
126.9926712,37.50625164,아크로리버파크아파트,보안실
126.9926712,37.50625164,아크로리버파크아파트,커뮤니티안내데스크
127.0005382,37.48146696,서초신동아아파트,8동앞
126.9517613,37.55326078,마포래미안푸르지오아파트,서울특별시 마포구 마포대로 195 마포래미안푸르지오아파트(아현동)
127.0087748,37.56888548,두산타워빌딩,B1F 식음료장
127.1117068,37.55863008,sk네트웍스(주)워커힐,비스타호텔 3층 피트니스센터 내부
126.9478047,37.50962811,우성아파트,관리사무소입구
127.1117068,37.55863008,sk네트웍스(주)워커힐,그랜드워커힐호텔 본관 1층 로비
127.1117068,37.55863008,sk네트웍스(주)워커힐,비스타호텔 보안과 사무실 내
